target,model,train_period,validation_period,train_rows,validation_rows,R2_train,R2_validation,R2_gap_train_minus_validation,RMSE_train,RMSE_validation,RMSE_validation_div_train,MAPE_train_percent,MAPE_validation_percent,overfit_risk
日平均负荷,Ridge,2012-01-15 至 2014-06-30,2014-07-01 至 2014-12-31,911,183,0.8837,0.8104,0.0732,501.2,522.19,1.042,6.023,4.913,低过拟合风险
日平均负荷,RandomForest,2012-01-15 至 2014-06-30,2014-07-01 至 2014-12-31,911,183,0.9754,0.7982,0.1773,230.31,538.82,2.34,2.07,4.987,高过拟合风险
日平均负荷,XGBoost,2012-01-15 至 2014-06-30,2014-07-01 至 2014-12-31,911,183,0.9997,0.8258,0.1739,24.22,500.53,20.67,0.201,4.629,高过拟合风险
日平均负荷,SVR,2012-01-15 至 2014-06-30,2014-07-01 至 2014-12-31,911,183,0.7571,0.6715,0.0855,724.27,687.37,0.949,9.368,6.744,低过拟合风险
日平均负荷,KNN,2012-01-15 至 2014-06-30,2014-07-01 至 2014-12-31,911,183,1.0,0.6708,0.3292,0.0,688.12,11525369.562,0.0,7.148,高过拟合风险
日平均负荷,Stacking,2012-01-15 至 2014-06-30,2014-07-01 至 2014-12-31,911,183,0.9906,0.8482,0.1424,142.55,467.33,3.278,1.776,4.229,高过拟合风险
日最高负荷,Ridge,2012-01-15 至 2014-06-30,2014-07-01 至 2014-12-31,911,183,0.8473,0.7449,0.1023,744.91,788.74,1.059,7.259,5.919,中等过拟合风险
日最高负荷,RandomForest,2012-01-15 至 2014-06-30,2014-07-01 至 2014-12-31,911,183,0.9835,0.7809,0.2026,244.96,731.0,2.984,1.867,5.416,高过拟合风险
日最高负荷,XGBoost,2012-01-15 至 2014-06-30,2014-07-01 至 2014-12-31,911,183,0.9994,0.8399,0.1596,45.96,624.95,13.597,0.443,4.579,高过拟合风险
日最高负荷,SVR,2012-01-15 至 2014-06-30,2014-07-01 至 2014-12-31,911,183,0.6388,0.6202,0.0186,1145.49,962.41,0.84,12.266,8.04,低过拟合风险
日最高负荷,KNN,2012-01-15 至 2014-06-30,2014-07-01 至 2014-12-31,911,183,1.0,0.6657,0.3343,0.0,902.97,16853030.704,0.0,7.326,高过拟合风险
日最高负荷,Stacking,2012-01-15 至 2014-06-30,2014-07-01 至 2014-12-31,911,183,0.9924,0.8497,0.1428,165.76,605.54,3.653,1.746,4.267,高过拟合风险
日最低负荷,Ridge,2012-01-15 至 2014-06-30,2014-07-01 至 2014-12-31,911,183,0.8651,0.8008,0.0643,392.43,424.85,1.083,6.729,5.342,低过拟合风险
日最低负荷,RandomForest,2012-01-15 至 2014-06-30,2014-07-01 至 2014-12-31,911,183,0.9564,0.7983,0.1581,223.04,427.54,1.917,3.045,5.235,中等过拟合风险
日最低负荷,XGBoost,2012-01-15 至 2014-06-30,2014-07-01 至 2014-12-31,911,183,0.9887,0.8462,0.1425,113.74,373.34,3.282,1.926,4.992,高过拟合风险
日最低负荷,SVR,2012-01-15 至 2014-06-30,2014-07-01 至 2014-12-31,911,183,0.7821,0.6784,0.1037,498.69,539.86,1.083,8.982,6.999,中等过拟合风险
日最低负荷,KNN,2012-01-15 至 2014-06-30,2014-07-01 至 2014-12-31,911,183,1.0,0.6659,0.3341,0.0,550.24,18295910.285,0.0,7.655,高过拟合风险
日最低负荷,Stacking,2012-01-15 至 2014-06-30,2014-07-01 至 2014-12-31,911,183,0.9836,0.866,0.1175,136.91,348.43,2.545,2.17,4.483,高过拟合风险
