target,model,RMSE,MAE,MAPE(%),R2,test_error_RMSE,generalization_error_estimate_RMSE,generalization_gap_vs_cv_RMSE,generalization_risk,TimeSeriesSplit_RMSE_mean,TimeSeriesSplit_RMSE_std,Bootstrap_OOB_RMSE_mean,Bootstrap_OOB_RMSE_std
日平均负荷,Ridge,522.19,351.88,4.913,0.8104,522.19,539.67,-17.48,低风险,539.67,38.68,523.83,35.76
日平均负荷,RandomForest,538.82,373.53,4.987,0.7982,538.82,554.37,-15.55,低风险,554.37,74.31,501.01,49.47
日平均负荷,XGBoost,500.53,350.92,4.629,0.8258,500.53,549.59,-49.06,低风险,549.59,74.69,471.54,61.66
日平均负荷,SVR,687.37,519.01,6.744,0.6715,687.37,837.54,-150.17,中等风险,837.54,99.2,747.94,41.75
日平均负荷,KNN,688.12,553.78,7.148,0.6708,688.12,704.2,-16.08,低风险,704.2,85.22,588.05,55.26
日平均负荷,Stacking,467.33,310.59,4.229,0.8482,467.33,488.97,-21.64,低风险,488.97,51.72,456.75,58.36
日最高负荷,Ridge,788.74,533.18,5.919,0.7449,788.74,807.12,-18.38,低风险,807.12,61.47,770.75,50.61
日最高负荷,RandomForest,731.0,493.89,5.416,0.7809,731.0,806.72,-75.72,低风险,806.72,77.27,699.03,79.29
日最高负荷,XGBoost,624.95,430.43,4.579,0.8399,624.95,826.84,-201.89,中等风险,826.84,184.67,616.53,81.72
日最高负荷,SVR,962.41,735.07,8.04,0.6202,962.41,1190.8,-228.39,中等风险,1190.8,155.58,1158.31,74.67
日最高负荷,KNN,902.97,706.0,7.326,0.6657,902.97,911.29,-8.32,低风险,911.29,119.45,770.06,78.47
日最高负荷,Stacking,605.54,396.07,4.267,0.8497,605.54,700.37,-94.83,低风险,700.37,89.33,608.39,80.94
日最低负荷,Ridge,424.85,284.02,5.342,0.8008,424.85,427.61,-2.76,低风险,427.61,15.06,422.97,17.82
日最低负荷,RandomForest,427.54,291.36,5.235,0.7983,427.54,402.9,24.64,低风险,402.9,64.29,373.25,25.82
日最低负荷,XGBoost,373.34,281.59,4.992,0.8462,373.34,394.74,-21.4,低风险,394.74,77.16,322.4,23.26
日最低负荷,SVR,539.86,397.43,6.999,0.6784,539.86,586.38,-46.52,低风险,586.38,45.35,508.87,12.83
日最低负荷,KNN,550.24,434.03,7.655,0.6659,550.24,538.94,11.3,低风险,538.94,81.36,450.03,31.91
日最低负荷,Stacking,348.43,248.05,4.483,0.866,348.43,379.62,-31.19,低风险,379.62,66.23,323.79,21.3
