date,target,target_col,value,lower_bound,upper_bound,direction,temp_avg,cause,action
2012-01-01,日最高负荷,load_max,3967.26,4459.56,13770.78,偏低,15.8,元旦,保留（真实极端事件）
2012-01-18,日最高负荷,load_max,4220.8,4459.56,13770.78,偏低,16.9,其他/未知,保留（真实极端事件）
2012-01-19,日最高负荷,load_max,3788.68,4459.56,13770.78,偏低,19.2,春节,保留（真实极端事件）
2012-01-20,日最高负荷,load_max,3183.89,4459.56,13770.78,偏低,16.4,春节,保留（真实极端事件）
2012-01-21,日最高负荷,load_max,2699.74,4459.56,13770.78,偏低,14.7,春节,保留（真实极端事件）
2012-01-22,日最高负荷,load_max,2446.53,4459.56,13770.78,偏低,9.7,春节,保留（真实极端事件）
2012-01-23,日最高负荷,load_max,2394.2,4459.56,13770.78,偏低,7.0,春节,保留（真实极端事件）
2012-01-24,日最高负荷,load_max,2464.25,4459.56,13770.78,偏低,6.7,春节,保留（真实极端事件）
2012-01-25,日最高负荷,load_max,2743.71,4459.56,13770.78,偏低,6.1,春节,保留（真实极端事件）
2012-01-26,日最高负荷,load_max,2987.71,4459.56,13770.78,偏低,6.1,春节,保留（真实极端事件）
2012-01-27,日最高负荷,load_max,3007.07,4459.56,13770.78,偏低,8.7,春节,保留（真实极端事件）
2012-01-28,日最高负荷,load_max,3320.04,4459.56,13770.78,偏低,13.8,春节,保留（真实极端事件）
2012-01-29,日最高负荷,load_max,3553.59,4459.56,13770.78,偏低,12.8,春节,保留（真实极端事件）
2012-01-30,日最高负荷,load_max,4352.1,4459.56,13770.78,偏低,13.8,其他/未知,保留（真实极端事件）
2012-10-01,日最高负荷,load_max,3667.82,4459.56,13770.78,偏低,25.1,国庆节,保留（真实极端事件）
2012-10-02,日最高负荷,load_max,4259.26,4459.56,13770.78,偏低,25.5,国庆节,保留（真实极端事件）
2013-01-01,日最高负荷,load_max,4082.14,4459.56,13770.78,偏低,10.7,元旦,保留（真实极端事件）
2013-02-05,日最高负荷,load_max,4277.79,4459.56,13770.78,偏低,22.3,其他/未知,保留（真实极端事件）
2013-02-06,日最高负荷,load_max,3781.11,4459.56,13770.78,偏低,22.3,春节,保留（真实极端事件）
