target,model_a,model_b,mean_abs_error_a,mean_abs_error_b,better_by_mean_abs_error,paired_t_stat,paired_t_p_value,t_test_conclusion,mcnemar_chi2,mcnemar_p_value,mcnemar_conclusion
日平均负荷,KNN,RandomForest,553.78,373.53,RandomForest,6.7587,0.0,p < 0.05，差异显著,57.9429,0.0,p < 0.05，犯错模式差异显著
日平均负荷,KNN,Ridge,553.78,351.88,Ridge,6.6858,0.0,p < 0.05，差异显著,34.8158,0.0,p < 0.05，犯错模式差异显著
日平均负荷,KNN,SVR,553.78,519.01,SVR,1.5588,0.12078,p >= 0.05，差异不显著,9.7627,0.001781,p < 0.05，犯错模式差异显著
日平均负荷,KNN,Stacking,553.78,310.59,Stacking,9.7428,0.0,p < 0.05，差异显著,57.787,0.0,p < 0.05，犯错模式差异显著
日平均负荷,KNN,XGBoost,553.78,350.92,XGBoost,8.8758,0.0,p < 0.05，差异显著,60.8,0.0,p < 0.05，犯错模式差异显著
日平均负荷,RandomForest,Ridge,373.53,351.88,Ridge,1.1005,0.272588,p >= 0.05，差异不显著,4.1702,0.041141,p < 0.05，犯错模式差异显著
日平均负荷,RandomForest,SVR,373.53,519.01,RandomForest,-5.1011,1e-06,p < 0.05，差异显著,33.4405,0.0,p < 0.05，犯错模式差异显著
日平均负荷,RandomForest,Stacking,373.53,310.59,Stacking,4.6667,6e-06,p < 0.05，差异显著,0.0,1.0,p >= 0.05，犯错模式差异不显著
日平均负荷,RandomForest,XGBoost,373.53,350.92,XGBoost,1.6933,0.092118,p >= 0.05，差异不显著,0.0357,0.850107,p >= 0.05，犯错模式差异不显著
日平均负荷,Ridge,SVR,351.88,519.01,Ridge,-5.9084,0.0,p < 0.05，差异显著,18.2785,1.9e-05,p < 0.05，犯错模式差异显著
日平均负荷,Ridge,Stacking,351.88,310.59,Stacking,2.6518,0.008714,p < 0.05，差异显著,5.9211,0.014961,p < 0.05，犯错模式差异显著
日平均负荷,Ridge,XGBoost,351.88,350.92,XGBoost,0.0439,0.965069,p >= 0.05，差异不显著,2.2857,0.13057,p >= 0.05，犯错模式差异不显著
日平均负荷,SVR,Stacking,519.01,310.59,Stacking,8.0396,0.0,p < 0.05，差异显著,35.1325,0.0,p < 0.05，犯错模式差异显著
日平均负荷,SVR,XGBoost,519.01,350.92,XGBoost,6.8177,0.0,p < 0.05，差异显著,30.9643,0.0,p < 0.05，犯错模式差异显著
日平均负荷,Stacking,XGBoost,310.59,350.92,Stacking,-4.6545,6e-06,p < 0.05，差异显著,0.16,0.689157,p >= 0.05，犯错模式差异不显著
日最高负荷,KNN,RandomForest,706.0,493.89,RandomForest,6.9842,0.0,p < 0.05，差异显著,42.25,0.0,p < 0.05，犯错模式差异显著
日最高负荷,KNN,Ridge,706.0,533.18,Ridge,4.1996,4.2e-05,p < 0.05，差异显著,30.25,0.0,p < 0.05，犯错模式差异显著
日最高负荷,KNN,SVR,706.0,735.07,KNN,-0.7488,0.454964,p >= 0.05，差异不显著,0.0,1.0,p >= 0.05，犯错模式差异不显著
日最高负荷,KNN,Stacking,706.0,396.07,Stacking,10.0783,0.0,p < 0.05，差异显著,52.1524,0.0,p < 0.05，犯错模式差异显著
日最高负荷,KNN,XGBoost,706.0,430.43,XGBoost,8.0734,0.0,p < 0.05，差异显著,44.0833,0.0,p < 0.05，犯错模式差异显著
日最高负荷,RandomForest,Ridge,493.89,533.18,RandomForest,-1.3269,0.186201,p >= 0.05，差异不显著,1.6875,0.193931,p >= 0.05，犯错模式差异不显著
日最高负荷,RandomForest,SVR,493.89,735.07,RandomForest,-7.5297,0.0,p < 0.05，差异显著,44.9072,0.0,p < 0.05，犯错模式差异显著
日最高负荷,RandomForest,Stacking,493.89,396.07,Stacking,4.8829,2e-06,p < 0.05，差异显著,1.9394,0.163734,p >= 0.05，犯错模式差异不显著
日最高负荷,RandomForest,XGBoost,493.89,430.43,XGBoost,2.7432,0.006693,p < 0.05，差异显著,0.2368,0.626496,p >= 0.05，犯错模式差异不显著
日最高负荷,Ridge,SVR,533.18,735.07,Ridge,-6.7162,0.0,p < 0.05，差异显著,42.9589,0.0,p < 0.05，犯错模式差异显著
日最高负荷,Ridge,Stacking,533.18,396.07,Stacking,5.0178,1e-06,p < 0.05，差异显著,7.5349,0.006052,p < 0.05，犯错模式差异显著
日最高负荷,Ridge,XGBoost,533.18,430.43,XGBoost,3.0097,0.002986,p < 0.05，差异显著,3.1296,0.076881,p >= 0.05，犯错模式差异不显著
日最高负荷,SVR,Stacking,735.07,396.07,Stacking,9.7443,0.0,p < 0.05，差异显著,59.8404,0.0,p < 0.05，犯错模式差异显著
日最高负荷,SVR,XGBoost,735.07,430.43,XGBoost,8.0602,0.0,p < 0.05，差异显著,49.4949,0.0,p < 0.05，犯错模式差异显著
日最高负荷,Stacking,XGBoost,396.07,430.43,Stacking,-3.2457,0.001394,p < 0.05，差异显著,0.8421,0.358795,p >= 0.05，犯错模式差异不显著
日最低负荷,KNN,RandomForest,434.03,291.36,RandomForest,7.9786,0.0,p < 0.05，差异显著,42.4512,0.0,p < 0.05，犯错模式差异显著
日最低负荷,KNN,Ridge,434.03,284.02,Ridge,5.9253,0.0,p < 0.05，差异显著,27.8763,0.0,p < 0.05，犯错模式差异显著
日最低负荷,KNN,SVR,434.03,397.43,SVR,1.7593,0.080199,p >= 0.05，差异不显著,8.5323,0.003489,p < 0.05，犯错模式差异显著
日最低负荷,KNN,Stacking,434.03,248.05,Stacking,10.4766,0.0,p < 0.05，差异显著,44.2976,0.0,p < 0.05，犯错模式差异显著
日最低负荷,KNN,XGBoost,434.03,281.59,XGBoost,8.3748,0.0,p < 0.05，差异显著,25.3125,0.0,p < 0.05，犯错模式差异显著
日最低负荷,RandomForest,Ridge,291.36,284.02,Ridge,0.4545,0.649992,p >= 0.05，差异不显著,0.6792,0.409847,p >= 0.05，犯错模式差异不显著
日最低负荷,RandomForest,SVR,291.36,397.43,RandomForest,-6.6192,0.0,p < 0.05，差异显著,22.6852,2e-06,p < 0.05，犯错模式差异显著
日最低负荷,RandomForest,Stacking,291.36,248.05,Stacking,3.7765,0.000215,p < 0.05，差异显著,0.0417,0.838256,p >= 0.05，犯错模式差异不显著
日最低负荷,RandomForest,XGBoost,291.36,281.59,XGBoost,0.6104,0.542382,p >= 0.05，差异不显著,4.6944,0.03026,p < 0.05，犯错模式差异显著
