target,model,group_by,group_value,n_samples,RMSE,MAE,MAPE(%),R2
日平均负荷,KNN,season,冬季,31,419.76,382.94,5.581,0.2266
日平均负荷,KNN,season,夏季,61,645.57,597.64,6.531,0.1295
日平均负荷,KNN,season,秋季,91,782.84,582.58,8.095,0.4791
日平均负荷,RandomForest,season,冬季,31,198.41,164.33,2.445,0.8272
日平均负荷,RandomForest,season,夏季,61,463.07,399.74,4.53,0.5521
日平均负荷,RandomForest,season,秋季,91,653.22,427.22,6.159,0.6373
日平均负荷,Ridge,season,冬季,31,297.02,246.75,3.708,0.6128
日平均负荷,Ridge,season,夏季,61,394.47,309.25,3.56,0.675
日平均负荷,Ridge,season,秋季,91,643.42,416.27,6.232,0.6481
日平均负荷,SVR,season,冬季,31,292.27,249.96,3.768,0.6251
日平均负荷,SVR,season,夏季,61,713.93,664.81,7.235,-0.0646
日平均负荷,SVR,season,秋季,91,761.18,512.92,7.429,0.5075
日平均负荷,Stacking,season,冬季,31,165.05,135.79,2.073,0.8804
日平均负荷,Stacking,season,夏季,61,342.74,278.2,3.1,0.7546
日平均负荷,Stacking,season,秋季,91,592.6,391.86,5.72,0.7015
日平均负荷,XGBoost,season,冬季,31,159.28,127.61,1.933,0.8887
日平均负荷,XGBoost,season,夏季,61,406.47,352.22,3.855,0.6549
日平均负荷,XGBoost,season,秋季,91,620.01,426.13,6.067,0.6732
日最低负荷,KNN,season,冬季,31,264.88,231.9,4.893,0.3825
日最低负荷,KNN,season,夏季,61,560.65,480.85,7.108,-0.4701
日最低负荷,KNN,season,秋季,91,611.76,471.5,8.963,0.4127
日最低负荷,RandomForest,season,冬季,31,126.81,99.68,2.201,0.8585
日最低负荷,RandomForest,season,夏季,61,447.33,347.94,5.102,0.0641
日最低负荷,RandomForest,season,秋季,91,477.47,318.73,6.358,0.6422
日最低负荷,Ridge,season,冬季,31,285.72,193.98,4.222,0.2815
日最低负荷,Ridge,season,夏季,61,342.15,267.56,4.036,0.4525
日最低负荷,Ridge,season,秋季,91,506.66,325.73,6.6,0.5972
日最低负荷,SVR,season,冬季,31,214.48,163.53,3.584,0.5951
日最低负荷,SVR,season,夏季,61,627.91,548.69,8.065,-0.844
日最低负荷,SVR,season,秋季,91,553.29,375.72,7.449,0.5196
日最低负荷,Stacking,season,冬季,31,117.61,98.06,2.145,0.8782
日最低负荷,Stacking,season,夏季,61,319.22,255.66,3.781,0.5234
日最低负荷,Stacking,season,秋季,91,413.66,294.04,5.749,0.7315
日最低负荷,XGBoost,season,冬季,31,140.74,121.23,2.628,0.8257
日最低负荷,XGBoost,season,夏季,61,369.54,313.32,4.645,0.3613
日最低负荷,XGBoost,season,秋季,91,426.62,314.94,6.03,0.7144
日最高负荷,KNN,season,冬季,31,526.62,480.11,5.496,0.4192
日最高负荷,KNN,season,夏季,61,776.11,732.34,6.459,0.5059
日最高负荷,KNN,season,秋季,91,1068.37,765.3,8.531,0.4704
日最高负荷,RandomForest,season,冬季,31,366.96,295.86,3.426,0.718
日最高负荷,RandomForest,season,夏季,61,486.88,415.25,3.716,0.8055
日最高负荷,RandomForest,season,秋季,91,932.64,614.07,7.234,0.5964
日最高负荷,Ridge,season,冬季,31,414.89,339.15,3.951,0.6395
日最高负荷,Ridge,season,夏季,61,612.97,465.65,4.35,0.6918
日最高负荷,Ridge,season,秋季,91,969.82,644.54,7.641,0.5636
日最高负荷,SVR,season,冬季,31,519.95,462.54,5.482,0.4338
日最高负荷,SVR,season,夏季,61,880.31,841.56,7.718,0.3643
日最高负荷,SVR,season,秋季,91,1118.51,756.53,9.129,0.4195
日最高负荷,Stacking,season,冬季,31,166.37,129.42,1.524,0.942
日最高负荷,Stacking,season,夏季,61,413.69,342.71,3.11,0.8596
日最高负荷,Stacking,season,秋季,91,783.09,522.69,5.976,0.7155
日最高负荷,XGBoost,season,冬季,31,207.12,156.01,1.8,0.9101
日最高负荷,XGBoost,season,夏季,61,436.42,383.07,3.504,0.8438
日最高负荷,XGBoost,season,秋季,91,801.96,555.66,6.246,0.7016
日平均负荷,KNN,month,7,30,662.09,591.57,6.3,0.0606
日平均负荷,KNN,month,8,31,629.18,603.51,6.755,0.1252
日平均负荷,KNN,month,9,30,871.54,716.28,9.01,0.1141
日平均负荷,KNN,month,10,31,975.04,706.49,10.57,-0.0428
日平均负荷,KNN,month,11,30,341.96,320.85,4.622,0.6636
日平均负荷,KNN,month,12,31,419.76,382.94,5.581,0.2266
日平均负荷,RandomForest,month,7,30,496.37,439.33,4.877,0.472
日平均负荷,RandomForest,month,8,31,428.38,361.43,4.194,0.5945
日平均负荷,RandomForest,month,9,30,752.19,524.6,7.04,0.3401
日平均负荷,RandomForest,month,10,31,782.8,497.33,7.617,0.3279
日平均负荷,RandomForest,month,11,30,308.74,257.41,3.772,0.7258
日平均负荷,RandomForest,month,12,31,198.41,164.33,2.445,0.8272
日平均负荷,Ridge,month,7,30,370.42,295.47,3.356,0.706
日平均负荷,Ridge,month,8,31,416.43,322.59,3.757,0.6168
日平均负荷,Ridge,month,9,30,705.93,455.52,6.257,0.4188
日平均负荷,Ridge,month,10,31,786.94,512.2,8.159,0.3208
日平均负荷,Ridge,month,11,30,342.8,277.9,4.215,0.662
日平均负荷,Ridge,month,12,31,297.02,246.75,3.708,0.6128
日平均负荷,SVR,month,7,30,776.68,720.16,7.717,-0.2927
日平均负荷,SVR,month,8,31,647.43,611.25,6.768,0.0737
日平均负荷,SVR,month,9,30,908.33,744.93,9.426,0.0377
日平均负荷,SVR,month,10,31,909.21,576.28,9.459,0.0933
日平均负荷,SVR,month,11,30,279.62,215.44,3.335,0.7751
日平均负荷,SVR,month,12,31,292.27,249.96,3.768,0.6251
日平均负荷,Stacking,month,7,30,330.54,268.16,2.952,0.7659
日平均负荷,Stacking,month,8,31,354.16,287.91,3.242,0.7228
日平均负荷,Stacking,month,9,30,718.22,484.34,6.576,0.3984
日平均负荷,Stacking,month,10,31,675.05,467.69,7.22,0.5002
日平均负荷,Stacking,month,11,30,280.17,221.03,3.314,0.7742
日平均负荷,Stacking,month,12,31,165.05,135.79,2.073,0.8804
日平均负荷,XGBoost,month,7,30,419.77,365.16,3.948,0.6224
日平均负荷,XGBoost,month,8,31,393.17,339.69,3.766,0.6584
日平均负荷,XGBoost,month,9,30,771.78,556.07,7.38,0.3053
日平均负荷,XGBoost,month,10,31,680.91,491.1,7.419,0.4915
日平均负荷,XGBoost,month,11,30,302.2,229.04,3.356,0.7373
日平均负荷,XGBoost,month,12,31,159.28,127.61,1.933,0.8887
日最低负荷,KNN,month,7,30,610.46,517.27,7.467,-0.6651
日最低负荷,KNN,month,8,31,507.8,445.61,6.761,-0.4507
日最低负荷,KNN,month,9,30,726.27,617.68,10.558,-0.0652
日最低负荷,KNN,month,10,31,722.58,561.72,11.56,-0.4394
日最低负荷,KNN,month,11,30,261.23,232.09,4.686,0.5165
日最低负荷,KNN,month,12,31,264.88,231.9,4.893,0.3825
日最低负荷,RandomForest,month,7,30,475.65,389.03,5.62,-0.0109
日最低负荷,RandomForest,month,8,31,418.1,308.18,4.601,0.0165
日最低负荷,RandomForest,month,9,30,510.39,385.78,6.821,0.4739
日最低负荷,RandomForest,month,10,31,609.56,382.16,8.267,-0.0243
日最低负荷,RandomForest,month,11,30,217.03,186.15,3.921,0.6662
日最低负荷,RandomForest,month,12,31,126.81,99.68,2.201,0.8585
日最低负荷,Ridge,month,7,30,354.29,293.68,4.391,0.4392
日最低负荷,Ridge,month,8,31,329.97,242.28,3.694,0.3875
日最低负荷,Ridge,month,9,30,507.95,364.67,6.587,0.4789
日最低负荷,Ridge,month,10,31,638.41,395.55,8.678,-0.1236
日最低负荷,Ridge,month,11,30,315.46,214.66,4.464,0.2948
日最低负荷,Ridge,month,12,31,285.72,193.98,4.222,0.2815
日最低负荷,SVR,month,7,30,675.97,594.11,8.573,-1.0417
日最低负荷,SVR,month,8,31,577.59,504.73,7.574,-0.8769
日最低负荷,SVR,month,9,30,654.84,546.54,9.371,0.134
日最低负荷,SVR,month,10,31,655.69,410.03,9.311,-0.1853
日最低负荷,SVR,month,11,30,235.61,169.44,3.602,0.6066
日最低负荷,SVR,month,12,31,214.48,163.53,3.584,0.5951
日最低负荷,Stacking,month,7,30,332.47,272.36,3.941,0.5061
日最低负荷,Stacking,month,8,31,305.85,239.5,3.627,0.4737
日最低负荷,Stacking,month,9,30,549.68,400.12,7.162,0.3898
日最低负荷,Stacking,month,10,31,401.83,285.68,6.027,0.5548
日最低负荷,Stacking,month,11,30,223.71,196.6,4.048,0.6454
日最低负荷,Stacking,month,12,31,117.61,98.06,2.145,0.8782
日最低负荷,XGBoost,month,7,30,388.94,330.3,4.779,0.3241
日最低负荷,XGBoost,month,8,31,349.75,296.89,4.516,0.3118
日最低负荷,XGBoost,month,9,30,613.42,459.86,8.143,0.2401
日最低负荷,XGBoost,month,10,31,335.15,267.01,5.496,0.6903
日最低负荷,XGBoost,month,11,30,244.37,219.55,4.47,0.5769
日最低负荷,XGBoost,month,12,31,140.74,121.23,2.628,0.8257
日最高负荷,KNN,month,7,30,794.07,731.05,6.329,0.4603
日最高负荷,KNN,month,8,31,758.32,733.6,6.584,0.531
日最高负荷,KNN,month,9,30,1177.8,874.87,8.979,0.1592
日最高负荷,KNN,month,10,31,1350.07,999.44,11.836,0.0144
日最高负荷,KNN,month,11,30,437.77,413.78,4.668,0.7787
日最高负荷,KNN,month,12,31,526.62,480.11,5.496,0.4192
日最高负荷,RandomForest,month,7,30,536.74,468.27,4.13,0.7534
日最高负荷,RandomForest,month,8,31,433.2,363.93,3.315,0.8469
日最高负荷,RandomForest,month,9,30,1086.71,682.24,7.564,0.2842
日最高负荷,RandomForest,month,10,31,1129.08,814.53,10.14,0.3106
日最高负荷,RandomForest,month,11,30,374.4,338.76,3.902,0.8381
日最高负荷,RandomForest,month,12,31,366.96,295.86,3.426,0.718
日最高负荷,Ridge,month,7,30,601.33,447.97,4.162,0.6905
日最高负荷,Ridge,month,8,31,624.03,482.76,4.532,0.6824
日最高负荷,Ridge,month,9,30,1026.89,658.13,7.136,0.3609
日最高负荷,Ridge,month,10,31,1212.01,849.18,10.676,0.2056
日最高负荷,Ridge,month,11,30,529.68,419.5,5.011,0.676
日最高负荷,Ridge,month,12,31,414.89,339.15,3.951,0.6395
日最高负荷,SVR,month,7,30,908.41,868.26,7.849,0.2937
日最高负荷,SVR,month,8,31,852.24,815.71,7.591,0.4076
日最高负荷,SVR,month,9,30,1163.0,914.64,9.59,0.1802
日最高负荷,SVR,month,10,31,1416.59,937.49,12.35,-0.0852
日最高负荷,SVR,month,11,30,607.24,411.43,5.339,0.5742
日最高负荷,SVR,month,12,31,519.95,462.54,5.482,0.4338
日最高负荷,Stacking,month,7,30,425.57,353.15,3.185,0.845
日最高负荷,Stacking,month,8,31,401.87,332.61,3.038,0.8683
日最高负荷,Stacking,month,9,30,1070.31,672.66,7.399,0.3057
日最高负荷,Stacking,month,10,31,775.41,642.31,7.566,0.6749
日最高负荷,Stacking,month,11,30,305.36,249.1,2.912,0.8923
日最高负荷,Stacking,month,12,31,166.37,129.42,1.524,0.942
日最高负荷,XGBoost,month,7,30,462.29,402.19,3.661,0.8171
日最高负荷,XGBoost,month,8,31,409.84,364.57,3.353,0.863
日最高负荷,XGBoost,month,9,30,1144.29,742.45,8.113,0.2064
日最高负荷,XGBoost,month,10,31,718.17,632.34,7.253,0.7211
日最高负荷,XGBoost,month,11,30,329.37,289.64,3.338,0.8747
日最高负荷,XGBoost,month,12,31,207.12,156.01,1.8,0.9101
日平均负荷,KNN,day_type,周末,52,502.87,427.26,5.636,0.7862
日平均负荷,KNN,day_type,工作日,131,749.06,604.0,7.748,0.5877
日平均负荷,RandomForest,day_type,周末,52,386.93,290.0,4.046,0.8734
日平均负荷,RandomForest,day_type,工作日,131,588.34,406.69,5.361,0.7456
日平均负荷,Ridge,day_type,周末,52,445.91,386.95,5.474,0.8319
日平均负荷,Ridge,day_type,工作日,131,549.54,337.96,4.691,0.7781
日平均负荷,SVR,day_type,周末,52,506.84,443.71,5.936,0.7828
日平均负荷,SVR,day_type,工作日,131,747.03,548.89,7.065,0.5899
日平均负荷,Stacking,day_type,周末,52,307.59,259.54,3.669,0.92
日平均负荷,Stacking,day_type,工作日,131,517.24,330.86,4.451,0.8034
日平均负荷,XGBoost,day_type,周末,52,289.56,226.61,3.151,0.9291
日平均负荷,XGBoost,day_type,工作日,131,562.76,400.27,5.216,0.7673
日最低负荷,KNN,day_type,周末,52,402.15,337.52,5.979,0.7608
日最低负荷,KNN,day_type,工作日,131,598.96,472.34,8.321,0.6403
日最低负荷,RandomForest,day_type,周末,52,226.48,173.71,3.05,0.9241
日最低负荷,RandomForest,day_type,工作日,131,484.76,338.06,6.102,0.7644
日最低负荷,Ridge,day_type,周末,52,241.28,197.99,3.528,0.9139
日最低负荷,Ridge,day_type,工作日,131,478.58,318.18,6.062,0.7703
日最低负荷,SVR,day_type,周末,52,393.95,314.42,5.287,0.7704
日最低负荷,SVR,day_type,工作日,131,587.81,430.38,7.679,0.6535
日最低负荷,Stacking,day_type,周末,52,191.49,159.09,2.89,0.9458
日最低负荷,Stacking,day_type,工作日,131,393.74,283.36,5.115,0.8445
日最低负荷,XGBoost,day_type,周末,52,225.54,191.76,3.432,0.9248
日最低负荷,XGBoost,day_type,工作日,131,417.75,317.24,5.612,0.825
日最高负荷,KNN,day_type,周末,52,657.34,552.25,5.904,0.7986
日最高负荷,KNN,day_type,工作日,131,983.61,767.03,7.89,0.5229
日最高负荷,RandomForest,day_type,周末,52,477.63,340.08,3.979,0.8937
日最高负荷,RandomForest,day_type,工作日,131,809.89,554.95,5.987,0.6766
日最高负荷,Ridge,day_type,周末,52,654.02,572.06,6.64,0.8007
日最高负荷,Ridge,day_type,工作日,131,836.22,517.74,5.633,0.6552
日最高负荷,SVR,day_type,周末,52,945.18,859.05,10.02,0.5837
日最高负荷,SVR,day_type,工作日,131,969.16,685.86,7.255,0.5369
日最高负荷,Stacking,day_type,周末,52,434.33,345.12,3.925,0.9121
日最高负荷,Stacking,day_type,工作日,131,661.32,416.3,4.403,0.7844
日最高负荷,XGBoost,day_type,周末,52,469.79,368.33,4.177,0.8971
日最高负荷,XGBoost,day_type,工作日,131,676.75,455.08,4.739,0.7742
