target,model,function_name,train_period,validation_period,feature_count,main_parameters,fit_seconds,cv_fold_rmse
日平均负荷,Ridge,Pipeline(StandardScaler + Ridge),2012-01-15 至 2014-06-30,2014-07-01 至 2014-12-31,22,"{""alpha"": 1.0353896158382423}",0.003,"544.7, 498.7, 575.6"
日平均负荷,RandomForest,RandomForestRegressor (Bagging),2012-01-15 至 2014-06-30,2014-07-01 至 2014-12-31,22,"{""max_depth"": 16, ""min_samples_leaf"": 2, ""min_samples_split"": 4, ""n_estimators"": 162}",0.902,"542.5, 486.7, 633.9"
日平均负荷,XGBoost,"XGBRegressor (Boosting, CUDA)",2012-01-15 至 2014-06-30,2014-07-01 至 2014-12-31,22,"{""colsample_bytree"": 0.9994640378147066, ""gamma"": null, ""learning_rate"": 0.028280280549546368, ""max_depth"": 11, ""min_child_weight"": 7, ""n_estimators"": 565, ""reg_alpha"": 0.00016507081784673385, ""reg_lambda"": 0.00011142024487407718, ""subsample"": 0.8762481130627044}",2.933,"589.1, 463.4, 596.2"
日平均负荷,SVR,Pipeline(StandardScaler + SVR/RBF),2012-01-15 至 2014-06-30,2014-07-01 至 2014-12-31,22,"{""C"": 96.59129448205489, ""epsilon"": 0.15796866712368746, ""gamma"": 0.02908744516701964}",0.029,"936.6, 837.9, 738.2"
日平均负荷,KNN,Pipeline(StandardScaler + KNN),2012-01-15 至 2014-06-30,2014-07-01 至 2014-12-31,22,"{""n_neighbors"": 7, ""weights"": ""distance""}",0.002,"783.3, 613.9, 715.4"
日平均负荷,Stacking,StackingRegressor: 5基模型 + Ridge元学习器,2012-01-15 至 2014-06-30,2014-07-01 至 2014-12-31,22,"{""cv"": 3}",14.279,"494.4, 434.7, 537.8"
日最高负荷,Ridge,Pipeline(StandardScaler + Ridge),2012-01-15 至 2014-06-30,2014-07-01 至 2014-12-31,22,"{""alpha"": 1.3697939272355495}",0.009,"827.3, 738.1, 856.0"
日最高负荷,RandomForest,RandomForestRegressor (Bagging),2012-01-15 至 2014-06-30,2014-07-01 至 2014-12-31,22,"{""max_depth"": 21, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 164}",1.08,"841.7, 718.1, 860.3"
日最高负荷,XGBoost,"XGBRegressor (Boosting, CUDA)",2012-01-15 至 2014-06-30,2014-07-01 至 2014-12-31,22,"{""colsample_bytree"": 0.9141822747975238, ""gamma"": null, ""learning_rate"": 0.05930272586671679, ""max_depth"": 5, ""min_child_weight"": 4, ""n_estimators"": 473, ""reg_alpha"": 1.5845239790673556e-05, ""reg_lambda"": 0.0018258635842308764, ""subsample"": 0.7072221591585556}",1.177,"1025.3, 660.1, 795.0"
日最高负荷,SVR,Pipeline(StandardScaler + SVR/RBF),2012-01-15 至 2014-06-30,2014-07-01 至 2014-12-31,22,"{""C"": 76.32355246599293, ""epsilon"": 0.3305501022586839, ""gamma"": 0.011891701675528261}",0.027,"1317.1, 1238.3, 1017.0"
日最高负荷,KNN,Pipeline(StandardScaler + KNN),2012-01-15 至 2014-06-30,2014-07-01 至 2014-12-31,22,"{""n_neighbors"": 5, ""weights"": ""distance""}",0.002,"1021.0, 784.1, 928.8"
日最高负荷,Stacking,StackingRegressor: 5基模型 + Ridge元学习器,2012-01-15 至 2014-06-30,2014-07-01 至 2014-12-31,22,"{""cv"": 3}",8.558,"764.9, 598.4, 737.9"
日最低负荷,Ridge,Pipeline(StandardScaler + Ridge),2012-01-15 至 2014-06-30,2014-07-01 至 2014-12-31,22,"{""alpha"": 2.768961502690699}",0.012,"431.2, 411.1, 440.5"
日最低负荷,RandomForest,RandomForestRegressor (Bagging),2012-01-15 至 2014-06-30,2014-07-01 至 2014-12-31,22,"{""max_depth"": 18, ""min_samples_leaf"": 4, ""min_samples_split"": 11, ""n_estimators"": 420}",1.795,"416.6, 332.9, 459.2"
日最低负荷,XGBoost,"XGBRegressor (Boosting, CUDA)",2012-01-15 至 2014-06-30,2014-07-01 至 2014-12-31,22,"{""colsample_bytree"": 0.634490065177341, ""gamma"": null, ""learning_rate"": 0.16831533182657094, ""max_depth"": 3, ""min_child_weight"": 2, ""n_estimators"": 135, ""reg_alpha"": 0.0634305751762543, ""reg_lambda"": 0.09232630067721911, ""subsample"": 0.9091819107607564}",0.42,"463.0, 311.0, 410.2"
日最低负荷,SVR,Pipeline(StandardScaler + SVR/RBF),2012-01-15 至 2014-06-30,2014-07-01 至 2014-12-31,22,"{""C"": 99.45636089162156, ""epsilon"": 0.1263784291405905, ""gamma"": 0.018571603764546155}",0.024,"634.6, 544.5, 580.0"
日最低负荷,KNN,Pipeline(StandardScaler + KNN),2012-01-15 至 2014-06-30,2014-07-01 至 2014-12-31,22,"{""n_neighbors"": 5, ""weights"": ""distance""}",0.002,"606.7, 448.7, 561.4"
日最低负荷,Stacking,StackingRegressor: 5基模型 + Ridge元学习器,2012-01-15 至 2014-06-30,2014-07-01 至 2014-12-31,22,"{""cv"": 3}",6.808,"446.0, 313.6, 379.3"
