target,model,threshold,threshold_label,approx_correct_count,sample_count,approx_correct_probability,approx_test_error_probability
日平均负荷,KNN,0.03,相对误差 <= 3%,20,183,0.1093,0.8907
日平均负荷,KNN,0.05,相对误差 <= 5%,58,183,0.3169,0.6831
日平均负荷,KNN,0.1,相对误差 <= 10%,165,183,0.9016,0.0984
日平均负荷,RandomForest,0.03,相对误差 <= 3%,72,183,0.3934,0.6066
日平均负荷,RandomForest,0.05,相对误差 <= 5%,137,183,0.7486,0.2514
日平均负荷,RandomForest,0.1,相对误差 <= 10%,169,183,0.9235,0.0765
日平均负荷,Ridge,0.03,相对误差 <= 3%,90,183,0.4918,0.5082
日平均负荷,Ridge,0.05,相对误差 <= 5%,122,183,0.6667,0.3333
日平均负荷,Ridge,0.1,相对误差 <= 10%,171,183,0.9344,0.0656
日平均负荷,SVR,0.03,相对误差 <= 3%,46,183,0.2514,0.7486
日平均负荷,SVR,0.05,相对误差 <= 5%,83,183,0.4536,0.5464
日平均负荷,SVR,0.1,相对误差 <= 10%,166,183,0.9071,0.0929
日平均负荷,Stacking,0.03,相对误差 <= 3%,95,183,0.5191,0.4809
日平均负荷,Stacking,0.05,相对误差 <= 5%,138,183,0.7541,0.2459
日平均负荷,Stacking,0.1,相对误差 <= 10%,176,183,0.9617,0.0383
日平均负荷,XGBoost,0.03,相对误差 <= 3%,70,183,0.3825,0.6175
日平均负荷,XGBoost,0.05,相对误差 <= 5%,135,183,0.7377,0.2623
日平均负荷,XGBoost,0.1,相对误差 <= 10%,177,183,0.9672,0.0328
日最低负荷,KNN,0.03,相对误差 <= 3%,31,183,0.1694,0.8306
日最低负荷,KNN,0.05,相对误差 <= 5%,69,183,0.377,0.623
日最低负荷,KNN,0.1,相对误差 <= 10%,144,183,0.7869,0.2131
日最低负荷,RandomForest,0.03,相对误差 <= 3%,76,183,0.4153,0.5847
日最低负荷,RandomForest,0.05,相对误差 <= 5%,129,183,0.7049,0.2951
日最低负荷,RandomForest,0.1,相对误差 <= 10%,164,183,0.8962,0.1038
日最低负荷,Ridge,0.03,相对误差 <= 3%,83,183,0.4536,0.5464
日最低负荷,Ridge,0.05,相对误差 <= 5%,122,183,0.6667,0.3333
日最低负荷,Ridge,0.1,相对误差 <= 10%,160,183,0.8743,0.1257
日最低负荷,SVR,0.03,相对误差 <= 3%,62,183,0.3388,0.6612
日最低负荷,SVR,0.05,相对误差 <= 5%,93,183,0.5082,0.4918
日最低负荷,SVR,0.1,相对误差 <= 10%,146,183,0.7978,0.2022
日最低负荷,Stacking,0.03,相对误差 <= 3%,86,183,0.4699,0.5301
日最低负荷,Stacking,0.05,相对误差 <= 5%,131,183,0.7158,0.2842
日最低负荷,Stacking,0.1,相对误差 <= 10%,173,183,0.9454,0.0546
日最低负荷,XGBoost,0.03,相对误差 <= 3%,66,183,0.3607,0.6393
日最低负荷,XGBoost,0.05,相对误差 <= 5%,115,183,0.6284,0.3716
日最低负荷,XGBoost,0.1,相对误差 <= 10%,168,183,0.918,0.082
日最高负荷,KNN,0.03,相对误差 <= 3%,15,183,0.082,0.918
日最高负荷,KNN,0.05,相对误差 <= 5%,63,183,0.3443,0.6557
日最高负荷,KNN,0.1,相对误差 <= 10%,166,183,0.9071,0.0929
日最高负荷,RandomForest,0.03,相对误差 <= 3%,69,183,0.377,0.623
日最高负荷,RandomForest,0.05,相对误差 <= 5%,129,183,0.7049,0.2951
日最高负荷,RandomForest,0.1,相对误差 <= 10%,167,183,0.9126,0.0874
日最高负荷,Ridge,0.03,相对误差 <= 3%,83,183,0.4536,0.5464
日最高负荷,Ridge,0.05,相对误差 <= 5%,119,183,0.6503,0.3497
日最高负荷,Ridge,0.1,相对误差 <= 10%,154,183,0.8415,0.1585
日最高负荷,SVR,0.03,相对误差 <= 3%,31,183,0.1694,0.8306
日最高负荷,SVR,0.05,相对误差 <= 5%,62,183,0.3388,0.6612
日最高负荷,SVR,0.1,相对误差 <= 10%,156,183,0.8525,0.1475
日最高负荷,Stacking,0.03,相对误差 <= 3%,98,183,0.5355,0.4645
日最高负荷,Stacking,0.05,相对误差 <= 5%,138,183,0.7541,0.2459
日最高负荷,Stacking,0.1,相对误差 <= 10%,171,183,0.9344,0.0656
日最高负荷,XGBoost,0.03,相对误差 <= 3%,81,183,0.4426,0.5574
日最高负荷,XGBoost,0.05,相对误差 <= 5%,133,183,0.7268,0.2732
日最高负荷,XGBoost,0.1,相对误差 <= 10%,169,183,0.9235,0.0765
