trial_number,value,alpha,model,target,n_estimators,max_depth,min_samples_leaf,min_samples_split,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda,C,gamma,epsilon,n_neighbors,weights
0,572.4253808676165,0.024371157544310663,Ridge,日平均负荷,,,,,,,,,,,,,,,
1,572.368843952206,0.03947046633004499,Ridge,日平均负荷,,,,,,,,,,,,,,,
2,572.2982456962848,0.05895902149408136,Ridge,日平均负荷,,,,,,,,,,,,,,,
3,572.2588129352424,0.07017045414370995,Ridge,日平均负荷,,,,,,,,,,,,,,,
4,572.1552535396391,0.10082453311781096,Ridge,日平均负荷,,,,,,,,,,,,,,,
5,571.8207706067675,0.21469425022922123,Ridge,日平均负荷,,,,,,,,,,,,,,,
6,572.306790889964,0.05656101132527541,Ridge,日平均负荷,,,,,,,,,,,,,,,
7,572.2332365031212,0.07757392899261667,Ridge,日平均负荷,,,,,,,,,,,,,,,
8,580.5993263055548,7.767067514720628,Ridge,日平均负荷,,,,,,,,,,,,,,,
9,571.7365049237882,0.24801364223324734,Ridge,日平均负荷,,,,,,,,,,,,,,,
10,663.6158346190044,95.5391738860247,Ridge,日平均负荷,,,,,,,,,,,,,,,
11,571.0975137750546,0.643389477300087,Ridge,日平均负荷,,,,,,,,,,,,,,,
12,571.0868337281034,0.6550715913006101,Ridge,日平均负荷,,,,,,,,,,,,,,,
13,571.0459657937027,1.4789204463439376,Ridge,日平均负荷,,,,,,,,,,,,,,,
14,571.8324037817769,2.3352324732916747,Ridge,日平均负荷,,,,,,,,,,,,,,,
15,572.3517687662161,2.74327600466302,Ridge,日平均负荷,,,,,,,,,,,,,,,
16,585.3447471525545,10.63288004211266,Ridge,日平均负荷,,,,,,,,,,,,,,,
17,570.919949254892,1.0346278298750762,Ridge,日平均负荷,,,,,,,,,,,,,,,
18,624.2372644595456,42.94329519445161,Ridge,日平均负荷,,,,,,,,,,,,,,,
19,571.0871554139911,1.5473918209128177,Ridge,日平均负荷,,,,,,,,,,,,,,,
20,587.3784730724267,11.911052633926571,Ridge,日平均负荷,,,,,,,,,,,,,,,
21,571.0722717030629,0.6717265631424219,Ridge,日平均负荷,,,,,,,,,,,,,,,
22,570.9690818336035,0.831725888369238,Ridge,日平均负荷,,,,,,,,,,,,,,,
23,575.3260531909356,4.664514401823972,Ridge,日平均负荷,,,,,,,,,,,,,,,
24,570.9376356623674,1.2138656211386558,Ridge,日平均负荷,,,,,,,,,,,,,,,
25,572.4748239502393,0.011513593990835121,Ridge,日平均负荷,,,,,,,,,,,,,,,
26,571.6505799604662,0.2845285292001879,Ridge,日平均负荷,,,,,,,,,,,,,,,
27,570.9296282862309,0.9546670398600258,Ridge,日平均负荷,,,,,,,,,,,,,,,
28,602.1285849525244,22.401530517508544,Ridge,日平均负荷,,,,,,,,,,,,,,,
29,574.658614788356,4.260107884055545,Ridge,日平均负荷,,,,,,,,,,,,,,,
30,570.9360781176911,1.2071312177222226,Ridge,日平均负荷,,,,,,,,,,,,,,,
31,571.4610320231844,0.3768012591493339,Ridge,日平均负荷,,,,,,,,,,,,,,,
32,571.0499310564577,1.4858851443909862,Ridge,日平均负荷,,,,,,,,,,,,,,,
33,571.9406859362745,0.17085202043235023,Ridge,日平均负荷,,,,,,,,,,,,,,,
34,570.9203536939714,1.0272718130422303,Ridge,日平均负荷,,,,,,,,,,,,,,,
35,571.3506893171055,0.4407870917849534,Ridge,日平均负荷,,,,,,,,,,,,,,,
36,573.2342719231862,3.358032258722165,Ridge,日平均负荷,,,,,,,,,,,,,,,
37,572.0792099344807,0.12455620605032737,Ridge,日平均负荷,,,,,,,,,,,,,,,
38,570.9199128210636,1.0353896158382423,Ridge,日平均负荷,,,,,,,,,,,,,,,
39,571.4187208051952,0.400238871176628,Ridge,日平均负荷,,,,,,,,,,,,,,,
40,578.5094713305282,6.5400039019674026,Ridge,日平均负荷,,,,,,,,,,,,,,,
41,570.9278052221706,0.964440990031363,Ridge,日平均负荷,,,,,,,,,,,,,,,
42,570.9324071958928,0.9413621287182141,Ridge,日平均负荷,,,,,,,,,,,,,,,
