target,model,lag,LjungBox_statistic,LjungBox_p_value,conclusion,BreuschPagan_statistic,BreuschPagan_p_value,BreuschPagan_conclusion
日平均负荷,Stacking,1.0,2.6934,0.100765,p >= 0.05，不存在显著自相关,,,
日平均负荷,Stacking,7.0,5.1,0.647757,p >= 0.05，不存在显著自相关,,,
日平均负荷,Stacking,14.0,9.7715,0.778688,p >= 0.05，不存在显著自相关,,,
日最高负荷,Stacking,1.0,0.2199,0.639148,p >= 0.05，不存在显著自相关,,,
日最高负荷,Stacking,7.0,3.8901,0.792341,p >= 0.05，不存在显著自相关,,,
日最高负荷,Stacking,14.0,6.8869,0.938985,p >= 0.05，不存在显著自相关,,,
日最低负荷,Stacking,1.0,4.3454,0.037109,p < 0.05，存在显著自相关,,,
日最低负荷,Stacking,7.0,12.781,0.077628,p >= 0.05，不存在显著自相关,,,
日最低负荷,Stacking,14.0,18.0864,0.202874,p >= 0.05，不存在显著自相关,,,
日平均负荷,Stacking,,,,,0.0,0.999732,p >= 0.05，不存在显著异方差
日最高负荷,Stacking,,,,,0.0999,0.751922,p >= 0.05，不存在显著异方差
日最低负荷,Stacking,,,,,0.0017,0.967363,p >= 0.05，不存在显著异方差
