target,model,RMSE,MAE,MAPE(%),R2,TimeSeriesSplit_RMSE_mean,TimeSeriesSplit_RMSE_std,Bootstrap_OOB_RMSE_mean,Bootstrap_OOB_RMSE_std
日平均负荷,Ridge,341.67,278.98,4.227,0.6013,568.38,39.7,530.8,33.29
日平均负荷,RandomForest,248.93,205.34,3.031,0.7884,555.96,74.79,489.23,73.05
日平均负荷,XGBoost,288.13,222.43,3.405,0.7165,571.73,109.1,476.88,57.17
日平均负荷,Stacking,265.06,209.1,3.177,0.7601,524.26,69.85,473.77,65.32
日最高负荷,Ridge,512.12,405.26,4.834,0.6121,845.74,53.63,804.07,32.04
日最高负荷,RandomForest,346.8,302.62,3.498,0.8221,791.17,86.62,682.55,81.68
日最高负荷,XGBoost,353.43,286.17,3.431,0.8153,847.53,180.55,689.9,74.38
日最高负荷,Stacking,328.33,262.73,3.113,0.8406,755.54,88.32,669.35,85.8
日最低负荷,Ridge,308.26,214.95,4.579,0.31,438.06,17.84,410.69,13.78
日最低负荷,RandomForest,199.86,161.5,3.44,0.71,403.81,62.0,379.29,33.31
日最低负荷,XGBoost,198.6,160.66,3.397,0.7136,406.24,71.46,362.71,25.98
日最低负荷,Stacking,199.41,151.4,3.22,0.7113,401.33,72.02,370.63,35.05
