target,model,function_name,train_period,validation_period,feature_count,main_parameters,fit_seconds,cv_fold_rmse
日平均负荷,Ridge,Pipeline(StandardScaler + Ridge)：标准化 + 岭回归,2012-01-15 至 2014-10-31,2014-11-01 至 2014-12-31,22,"{""pipeline"": ""StandardScaler + Ridge(alpha=20)""}",0.002,"601.2, 524.3, 579.7"
日平均负荷,RandomForest,RandomForestRegressor：随机森林回归器，Bagging 思想,2012-01-15 至 2014-10-31,2014-11-01 至 2014-12-31,22,"{""max_depth"": 10, ""min_samples_leaf"": 3, ""n_estimators"": 120}",0.512,"546.0, 486.6, 635.2"
日平均负荷,XGBoost,XGBRegressor：梯度提升树回归器，Boosting 思想,2012-01-15 至 2014-10-31,2014-11-01 至 2014-12-31,22,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 90, ""subsample"": 0.85}",0.123,"552.9, 444.9, 659.9"
日平均负荷,Stacking,StackingRegressor：堆叠集成回归器，元学习器融合,2012-01-15 至 2014-10-31,2014-11-01 至 2014-12-31,22,"{""cv"": 3}",1.764,"565.7, 444.3, 578.9"
日最高负荷,Ridge,Pipeline(StandardScaler + Ridge)：标准化 + 岭回归,2012-01-15 至 2014-10-31,2014-11-01 至 2014-12-31,22,"{""pipeline"": ""StandardScaler + Ridge(alpha=20)""}",0.002,"887.0, 785.1, 865.1"
日最高负荷,RandomForest,RandomForestRegressor：随机森林回归器，Bagging 思想,2012-01-15 至 2014-10-31,2014-11-01 至 2014-12-31,22,"{""max_depth"": 10, ""min_samples_leaf"": 3, ""n_estimators"": 120}",0.528,"790.1, 705.1, 878.3"
日最高负荷,XGBoost,XGBRegressor：梯度提升树回归器，Boosting 思想,2012-01-15 至 2014-10-31,2014-11-01 至 2014-12-31,22,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 90, ""subsample"": 0.85}",0.036,"1012.2, 664.2, 893.0"
日最高负荷,Stacking,StackingRegressor：堆叠集成回归器，元学习器融合,2012-01-15 至 2014-10-31,2014-11-01 至 2014-12-31,22,"{""cv"": 3}",1.777,"827.6, 646.3, 796.2"
日最低负荷,Ridge,Pipeline(StandardScaler + Ridge)：标准化 + 岭回归,2012-01-15 至 2014-10-31,2014-11-01 至 2014-12-31,22,"{""pipeline"": ""StandardScaler + Ridge(alpha=20)""}",0.003,"454.1, 418.8, 441.2"
日最低负荷,RandomForest,RandomForestRegressor：随机森林回归器，Bagging 思想,2012-01-15 至 2014-10-31,2014-11-01 至 2014-12-31,22,"{""max_depth"": 10, ""min_samples_leaf"": 3, ""n_estimators"": 120}",0.509,"422.9, 334.5, 454.0"
日最低负荷,XGBoost,XGBRegressor：梯度提升树回归器，Boosting 思想,2012-01-15 至 2014-10-31,2014-11-01 至 2014-12-31,22,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 90, ""subsample"": 0.85}",0.035,"424.1, 321.1, 475.8"
日最低负荷,Stacking,StackingRegressor：堆叠集成回归器，元学习器融合,2012-01-15 至 2014-10-31,2014-11-01 至 2014-12-31,22,"{""cv"": 3}",1.707,"451.5, 315.6, 432.2"
