target,weather_factor,pearson_r
日最高负荷,temp_max,0.5715779907947348
日最高负荷,temp_min,0.6146405600164494
日最高负荷,temp_avg,0.6149960878396425
日最高负荷,humidity,0.11180850772155879
日最高负荷,rainfall,0.07400537826864569
日最高负荷,temp_range,-0.01633436254679004
日最高负荷,hdd,-0.3606569179569014
日最高负荷,cdd,0.5707109031267165
日最低负荷,temp_max,0.6283104917653205
日最低负荷,temp_min,0.673944755400962
日最低负荷,temp_avg,0.6746649960423352
日最低负荷,humidity,0.11813603470016315
日最低负荷,rainfall,0.08250846265219654
日最低负荷,temp_range,-0.014037284417545861
日最低负荷,hdd,-0.3902481680260658
日最低负荷,cdd,0.6601770690440193
日平均负荷,temp_max,0.5951404259096724
日平均负荷,temp_min,0.6385195378775231
日平均负荷,temp_avg,0.639384906302403
日平均负荷,humidity,0.1103878170562253
日平均负荷,rainfall,0.07154856851723757
日平均负荷,temp_range,-0.013650639560864507
日平均负荷,hdd,-0.37186298347951513
日平均负荷,cdd,0.6122247956206636
