YMD,load_max,load_min,load_mean,temp_max,temp_min,temp_avg,humidity,rainfall,date,dayofweek,month,day_of_year,is_weekend,month_sin,month_cos,dow_sin,dow_cos,doy_sin,doy_cos,temp_range,hdd,cdd
20090101,3210.842464,2122.434784,2573.97437,,,,,,2009-01-01,3,1,1,0,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0.017213356155834685,0.9998518392091162,,,
20090102,4865.44096,1616.353408,3479.023373,,,,,,2009-01-02,4,1,2,0,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.03442161162274574,0.9994074007397048,,,
20090103,5183.229088,2489.0307519999997,4026.4997319999998,,,,,,2009-01-03,5,1,3,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0.051619667223253764,0.998666816288476,,,
20090104,5164.9501119999995,2679.780352,4076.8817169999998,,,,,,2009-01-04,6,1,4,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0.06880242680231986,0.9976303053065857,,,
20090105,5852.397376,2822.75104,4548.918549999999,,,,,,2009-01-05,0,1,5,0,0.49999999999999994,0.8660254037844387,0.0,1.0,0.08596479873744647,0.9962981749346078,,,
20090106,5909.08096,3082.164544,4680.464526,,,,,,2009-01-06,1,1,6,0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0.10310169744743485,0.9946708199115211,,,
20090107,5816.905983999999,3117.067168,4675.427569,,,,,,2009-01-07,2,1,7,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.1202080448993527,0.9927487224577402,,,
20090108,5867.263263999999,3133.2310719999996,4668.182567,,,,,,2009-01-08,3,1,8,0,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0.13727877211326478,0.9905324521322229,,,
20090109,5893.1284479999995,3156.113824,4697.195429,,,,,,2009-01-09,4,1,9,0,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.15430882066428117,0.9880226656636976,,,
20090110,5550.502143999999,3092.097568,4400.614146,,,,,,2009-01-10,5,1,10,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0.1712931441814776,0.9852201067560606,,,
20090111,4740.075136,2884.5590079999997,3903.189237,,,,,,2009-01-11,6,1,11,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0.1882267098432442,0.9821256058680006,,,
20090112,5629.890592,2689.7328639999996,4394.959313,,,,,,2009-01-12,0,1,12,0,0.49999999999999994,0.8660254037844387,0.0,1.0,0.2051044998686192,0.9787400799669153,,,
20090113,5657.771871999999,3024.248128,4523.674341,,,,,,2009-01-13,1,1,13,0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0.2219215130041655,0.9750645322571948,,,
20090114,5570.257696,3033.256096,4478.610405,,,,,,2009-01-14,2,1,14,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.2386727660059501,0.9711000518829505,,,
20090115,5388.032512,2990.144704,4326.302476,,,,,,2009-01-15,3,1,15,0,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0.255353295116187,0.9668478136052775,,,
20090116,5175.252832,2880.405856,4131.265888999999,,,,,,2009-01-16,4,1,16,0,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.2719581575341055,0.9623090774541486,,,
20090117,4671.094816,2727.0616,3801.7372689999997,,,,,,2009-01-17,5,1,17,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0.288482432880609,0.9574851883550393,,,
20090118,4019.44,2492.255296,3345.714048,,,,,,2009-01-18,6,1,18,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0.30492122465628907,0.9523775757303974,,,
20090119,4231.764064,2275.662304,3388.888266,,,,,,2009-01-19,0,1,19,0,0.49999999999999994,0.8660254037844387,0.0,1.0,0.3212696616923644,0.9469877530760753,,,
20090120,3913.9689280000002,2263.584064,3182.5145909999997,,,,,,2009-01-20,1,1,20,0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0.3375228995941133,0.9413173175128471,,,
