目标变量,特征名,中文含义,示例日期,示例值,参考权重(%),相关方向
日平均负荷,load_mean_lag_1,日平均负荷前 1 天滞后值,2015-01-10,7086.0616,9.21,正相关
日平均负荷,load_mean_roll_mean_7,日平均负荷过去 7 天滚动均值,2015-01-10,6693.0303,8.63,正相关
日平均负荷,load_mean_roll_mean_14,日平均负荷过去 14 天滚动均值,2015-01-10,6235.9598,8.15,正相关
日平均负荷,load_mean_lag_7,日平均负荷前 7 天滞后值,2015-01-10,5934.0155,7.76,正相关
日平均负荷,temp_avg,平均温度,2015-01-10,15.4,6.68,正相关
日平均负荷,temp_min,最低温度,2015-01-10,12.0,6.67,正相关
日平均负荷,load_mean_lag_14,日平均负荷前 14 天滞后值,2015-01-10,6912.8767,6.65,正相关
日平均负荷,doy_cos,年内日周期余弦,2015-01-10,0.9852,6.51,负相关
日平均负荷,cdd,制冷度日,2015-01-10,0.0,6.4,正相关
日平均负荷,temp_max,最高温度,2015-01-10,19.9,6.23,正相关
日平均负荷,month_cos,月份周期余弦,2015-01-10,0.866,5.33,负相关
日平均负荷,month_sin,月份周期正弦,2015-01-10,0.5,5.11,负相关
日平均负荷,hdd,供热度日,2015-01-10,2.6,3.9,负相关
日平均负荷,doy_sin,年内日周期正弦,2015-01-10,0.1713,3.58,负相关
日平均负荷,is_weekend,是否周末,2015-01-10,1.0,2.12,负相关
日平均负荷,dow_sin,星期周期正弦,2015-01-10,-0.9749,1.62,正相关
日平均负荷,dow_cos,星期周期余弦,2015-01-10,-0.2225,1.41,负相关
日平均负荷,humidity,相对湿度,2015-01-10,54.0,1.23,正相关
日平均负荷,load_mean_roll_std_7,日平均负荷过去 7 天滚动标准差,2015-01-10,501.7546,1.0,正相关
日平均负荷,load_mean_roll_std_14,日平均负荷过去 14 天滚动标准差,2015-01-10,1033.255,0.86,负相关
日平均负荷,rainfall,降雨量,2015-01-10,0.0,0.76,正相关
日平均负荷,temp_range,日温差,2015-01-10,7.9,0.18,负相关
日最低负荷,load_min_lag_1,日最低负荷前 1 天滞后值,2015-01-10,4841.274,9.47,正相关
日最低负荷,load_min_roll_mean_7,日最低负荷过去 7 天滚动均值,2015-01-10,4461.5954,8.79,正相关
日最低负荷,load_min_roll_mean_14,日最低负荷过去 14 天滚动均值,2015-01-10,4210.357,8.41,正相关
日最低负荷,load_min_lag_7,日最低负荷前 7 天滞后值,2015-01-10,3632.8675,7.75,正相关
日最低负荷,temp_min,最低温度,2015-01-10,12.0,7.07,正相关
日最低负荷,temp_avg,平均温度,2015-01-10,15.4,7.07,正相关
日最低负荷,cdd,制冷度日,2015-01-10,0.0,6.92,正相关
日最低负荷,load_min_lag_14,日最低负荷前 14 天滞后值,2015-01-10,4826.8938,6.9,正相关
日最低负荷,doy_cos,年内日周期余弦,2015-01-10,0.9852,6.86,负相关
日最低负荷,temp_max,最高温度,2015-01-10,19.9,6.59,正相关
