目标变量,特征名,中文含义,相关方向,相关系数,参考权重(%)
日平均负荷,load_mean_lag_1,日平均负荷前 1 天滞后值,正相关,0.8799,9.21
日平均负荷,load_mean_roll_mean_7,日平均负荷过去 7 天滚动均值,正相关,0.825,8.63
日平均负荷,load_mean_roll_mean_14,日平均负荷过去 14 天滚动均值,正相关,0.779,8.15
日平均负荷,load_mean_lag_7,日平均负荷前 7 天滞后值,正相关,0.7415,7.76
日平均负荷,temp_avg,平均温度,正相关,0.6385,6.68
日平均负荷,temp_min,最低温度,正相关,0.6377,6.67
日平均负荷,load_mean_lag_14,日平均负荷前 14 天滞后值,正相关,0.6353,6.65
日平均负荷,doy_cos,年内日周期余弦,负相关,-0.6224,6.51
日平均负荷,cdd,制冷度日,正相关,0.6115,6.4
日平均负荷,temp_max,最高温度,正相关,0.5955,6.23
日平均负荷,month_cos,月份周期余弦,负相关,-0.5098,5.33
日平均负荷,month_sin,月份周期正弦,负相关,-0.4882,5.11
日平均负荷,hdd,供热度日,负相关,-0.3723,3.9
日平均负荷,doy_sin,年内日周期正弦,负相关,-0.3419,3.58
日平均负荷,is_weekend,是否周末,负相关,-0.203,2.12
日平均负荷,dow_sin,星期周期正弦,正相关,0.1548,1.62
日平均负荷,dow_cos,星期周期余弦,负相关,-0.1345,1.41
日平均负荷,humidity,相对湿度,正相关,0.1178,1.23
日平均负荷,load_mean_roll_std_7,日平均负荷过去 7 天滚动标准差,正相关,0.0953,1.0
日平均负荷,load_mean_roll_std_14,日平均负荷过去 14 天滚动标准差,负相关,-0.0825,0.86
日平均负荷,rainfall,降雨量,正相关,0.0728,0.76
日平均负荷,temp_range,日温差,负相关,-0.0168,0.18
日最低负荷,load_min_lag_1,日最低负荷前 1 天滞后值,正相关,0.9032,9.47
日最低负荷,load_min_roll_mean_7,日最低负荷过去 7 天滚动均值,正相关,0.8378,8.79
日最低负荷,load_min_roll_mean_14,日最低负荷过去 14 天滚动均值,正相关,0.8018,8.41
日最低负荷,load_min_lag_7,日最低负荷前 7 天滞后值,正相关,0.7391,7.75
日最低负荷,temp_min,最低温度,正相关,0.6738,7.07
日最低负荷,temp_avg,平均温度,正相关,0.6741,7.07
日最低负荷,cdd,制冷度日,正相关,0.6595,6.92
日最低负荷,load_min_lag_14,日最低负荷前 14 天滞后值,正相关,0.6576,6.9
日最低负荷,doy_cos,年内日周期余弦,负相关,-0.6539,6.86
日最低负荷,temp_max,最高温度,正相关,0.6287,6.59
日最低负荷,month_cos,月份周期余弦,负相关,-0.5351,5.61
日最低负荷,month_sin,月份周期正弦,负相关,-0.5102,5.35
日最低负荷,hdd,供热度日,负相关,-0.3908,4.1
日最低负荷,doy_sin,年内日周期正弦,负相关,-0.3547,3.72
日最低负荷,dow_cos,星期周期余弦,负相关,-0.1598,1.68
日最低负荷,humidity,相对湿度,正相关,0.1276,1.34
日最低负荷,rainfall,降雨量,正相关,0.0841,0.88
日最低负荷,load_min_roll_std_7,日最低负荷过去 7 天滚动标准差,正相关,0.082,0.86
日最低负荷,dow_sin,星期周期正弦,正相关,0.0347,0.36
日最低负荷,temp_range,日温差,负相关,-0.0191,0.2
日最低负荷,load_min_roll_std_14,日最低负荷过去 14 天滚动标准差,负相关,-0.0065,0.07
日最低负荷,is_weekend,是否周末,负相关,-0.0019,0.02
日最高负荷,load_max_lag_1,日最高负荷前 1 天滞后值,正相关,0.8057,8.49
日最高负荷,load_max_roll_mean_7,日最高负荷过去 7 天滚动均值,正相关,0.7982,8.41
日最高负荷,load_max_lag_7,日最高负荷前 7 天滞后值,正相关,0.7526,7.93
日最高负荷,load_max_roll_mean_14,日最高负荷过去 14 天滚动均值,正相关,0.7528,7.93
日最高负荷,load_max_lag_14,日最高负荷前 14 天滞后值,正相关,0.6457,6.8
日最高负荷,temp_min,最低温度,正相关,0.6137,6.47
日最高负荷,temp_avg,平均温度,正相关,0.6142,6.47
日最高负荷,doy_cos,年内日周期余弦,负相关,-0.601,6.33
日最高负荷,temp_max,最高温度,正相关,0.572,6.03
日最高负荷,cdd,制冷度日,正相关,0.5702,6.01
日最高负荷,month_cos,月份周期余弦,负相关,-0.4936,5.2
日最高负荷,month_sin,月份周期正弦,负相关,-0.4703,4.96
日最高负荷,hdd,供热度日,负相关,-0.3611,3.8
日最高负荷,doy_sin,年内日周期正弦,负相关,-0.3292,3.47
日最高负荷,is_weekend,是否周末,负相关,-0.2646,2.79
日最高负荷,load_max_roll_std_7,日最高负荷过去 7 天滚动标准差,正相关,0.2611,2.75
日最高负荷,dow_sin,星期周期正弦,正相关,0.1907,2.01
日最高负荷,dow_cos,星期周期余弦,负相关,-0.1291,1.36
日最高负荷,humidity,相对湿度,正相关,0.1183,1.25
日最高负荷,rainfall,降雨量,正相关,0.075,0.79
日最高负荷,load_max_roll_std_14,日最高负荷过去 14 天滚动标准差,正相关,0.0539,0.57
日最高负荷,temp_range,日温差,负相关,-0.0188,0.2
